user_id,date,meal_type,food_id,food_name,quantity_g,calories,sugars_g,sodium_mg,fiber_g,carbs_g
USER001,2026-01-10,breakfast,FOOD009,Whole Wheat Bread,56,162,3,298,4.8,28
USER001,2026-01-10,breakfast,FOOD020,Milk (whole),244,150,12,107,0,12
USER001,2026-01-10,breakfast,FOOD001,Apple,182,95,19,2,4,25
USER001,2026-01-10,lunch,FOOD014,Chicken Breast,100,165,0,74,0,0
USER001,2026-01-10,lunch,FOOD010,Brown Rice,195,215,0.7,10,3.5,45
USER001,2026-01-10,lunch,FOOD025,Broccoli,91,34,1.5,58,2.4,7
USER001,2026-01-10,dinner,FOOD016,Salmon,100,206,0,75,0,0
USER001,2026-01-10,dinner,FOOD029,Sweet Potato,103,103,4.2,55,3.9,23
USER001,2026-01-10,snack,FOOD031,Almonds,28,161,1.1,0.4,3.5,6
USER001,2026-01-11,breakfast,FOOD012,Oats,40,150,1,1,4,27
USER001,2026-01-11,breakfast,FOOD020,Milk,244,150,12,107,0,12
USER001,2026-01-11,breakfast,FOOD002,Banana,118,105,14,1,3,27
USER001,2026-01-11,lunch,FOOD015,Ground Beef,100,215,0,75,0,0
USER001,2026-01-11,lunch,FOOD011,White Rice,158,206,0.1,0,0.6,45
USER001,2026-01-11,lunch,FOOD024,Carrot,61,25,3.3,42,1.7,6
USER001,2026-01-11,dinner,FOOD017,Egg,50,78,0.4,62,0,0.6
USER001,2026-01-11,dinner,FOOD028,Potato,173,163,1.7,10,3.7,37
USER001,2026-01-11,snack,FOOD036,Cookies,40,167,13,200,0.8,21
USER002,2026-01-10,breakfast,FOOD008,White Bread,28,79,2,144,0.6,14
USER002,2026-01-10,breakfast,FOOD021,Yogurt,100,59,3.3,46,0,3.3
USER002,2026-01-10,breakfast,FOOD004,Blueberries,148,84,15,1.5,3.6,21
USER002,2026-01-10,lunch,FOOD019,Lentils,198,230,0.8,4,15,40
USER002,2026-01-10,lunch,FOOD050,Dosa,150,168,1.2,382,1.5,30
USER002,2026-01-10,dinner,FOOD051,Samosa,50,206,0.5,350,1,22
USER002,2026-01-10,snack,FOOD037,Candy,20,70,14,10,0.4,17
USER002,2026-01-11,breakfast,FOOD045,Pizza,285,285,2,506,2.5,36
USER002,2026-01-11,lunch,FOOD052,Chapati,30,70,0.2,112,0.8,13
USER002,2026-01-11,lunch,FOOD056,Paneer Curry,240,398,1.5,812,1.2,8
USER002,2026-01-11,dinner,FOOD054,Biryani,240,412,2,652,1.2,48
USER002,2026-01-11,snack,FOOD038,Chips,28,152,0.2,170,1.3,15
USER003,2026-01-10,breakfast,FOOD009,Whole Wheat Bread,56,162,3,298,4.8,28
USER003,2026-01-10,breakfast,FOOD039,Soda Cola,355,140,39,40,0,39
USER003,2026-01-10,lunch,FOOD046,Hamburger,215,565,8,1047,2.3,46
USER003,2026-01-10,lunch,FOOD047,French Fries,111,323,0,246,3.2,36
USER003,2026-01-10,dinner,FOOD049,Chocolate Bar,42,220,21,35,2,24
USER003,2026-01-10,snack,FOOD036,Cookies,40,167,13,200,0.8,21
USER003,2026-01-11,breakfast,FOOD045,Pizza,285,285,2,506,2.5,36
USER003,2026-01-11,lunch,FOOD039,Soda,355,140,39,40,0,39
USER003,2026-01-11,snack,FOOD038,Chips,28,152,0.2,170,1.3,15
