category,typical_serving_size_g,min_serving_size_g,max_serving_size_g,typical_calories_per_serving,min_calories,max_calories,typical_sugar_g,min_sugar_g,max_sugar_g,typical_sodium_mg,min_sodium_mg,max_sodium_mg
Cookies,30,20,50,140,80,250,6,1,15,180,50,400
Chips,28,20,40,150,100,200,0.5,0,3,170,100,300
Bread,50,40,80,120,80,180,2,0,5,200,80,400
Rice,180,150,250,200,150,300,1,0,5,10,0,50
Pasta,200,150,250,220,150,350,2,0,10,2,0,50
Milk,240,200,300,150,100,200,12,8,20,100,50,200
Yogurt,150,100,200,80,50,150,15,8,25,80,30,200
Cheese,28,20,40,110,80,150,0.5,0,2,180,100,300
Juice,240,180,300,120,80,160,26,15,35,2,0,20
Soda,355,330,400,140,120,160,39,35,45,40,30,80
IceCream,132,100,200,260,200,350,28,15,40,100,50,200
Chocolate,40,30,60,220,150,300,20,10,30,50,20,150
Cereal,30,25,45,120,80,180,10,2,20,200,100,400
Pizza,300,250,350,280,200,400,3,0,8,500,300,800
Burger,215,180,280,550,400,750,8,2,20,1000,700,1400
FastFoodFries,111,90,150,320,250,400,0,0,5,250,150,400
Dosa,150,120,180,168,120,220,1.2,0.5,3,380,250,550
Samosa,50,40,70,206,150,300,0.5,0,2,350,200,500
Chapati,30,25,40,70,50,100,0.2,0,1,112,80,200
Naan,90,70,120,262,200,350,1.5,0.5,3,561,400,800
Biryani,240,200,300,412,350,550,2,1,5,650,500,900
Paneer,100,80,150,166,120,250,1,0,3,270,150,400
